id,expected_decision,language,decision_score,code_details,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,heuristic_score,result_match
chat_015_what_is_in_data_en,chat_response,en,True,,What is in the data?,"['chat', 'data_description']",easy,"['The data represents the Iris dataset', 'The dataset contains numeric features describing sepal and petal measurements', 'There is a categorical feature indicating the iris species', 'Each row corresponds to a single flower']","['Mentioning specific statistics or numeric values', 'Claims about model performance or training results', 'Assumptions about downstream data processing']",,,,
chat_001_what_is_iris,chat_response,ru,True,,"Поясни, что представляет собой датасет.","['chat', 'описание ириса']",easy,"['датасет содержит измерения лепестков и чашелистиков', 'три вида ириса']",['животные'],,,,
chat_002_how_many_classes,chat_response,ru,True,,Сколько классов в этом датасете?,"['chat', 'классы']",easy,['три класса'],[],,,,
chat_003_best_features,chat_response,ru,True,,Какие признаки лучше всего разделяют виды ирисов?,"['chat', 'анализ']",medium,"['длина лепестка', 'ширина лепестка']",[],,,,
chat_004_easiest_class,chat_response,ru,True,,Какой вид ириса лучше всего отделяется от остальных?,"['chat', 'анализ']",medium,"['setosa', 'короче лепестки', 'шире лепестки']",[],,,,
theory_001_overfitting,chat_response,ru,True,,Что такое переобучение в машинном обучении?,"['theory', 'ml']",easy,"['модель слишком хорошо подстраивается под обучающую выборку', 'плохо обобщает на новые данные']",['переобучение улучшает качество на новых данных'],,,,
theory_002_train_test_split,chat_response,ru,True,,Зачем используется разделение на обучающую и тестовую выборки?,"['theory', 'ml']",easy,"['оценка качества модели на невидимых данных', 'предотвращение утечки данных']",['для увеличения точности на обучающей выборке'],,,,
theory_003_regularization,chat_response,ru,True,,Что такое регуляризация и зачем она нужна?,"['theory', 'ml']",medium,"['добавляет штраф за сложность модели', 'уменьшает переобучение']",['регуляризация увеличивает разброс модели'],,,,
theory_004_bias_variance,chat_response,ru,True,,Объясни компромисс между смещением и разбросом.,"['theory', 'ml']",medium,"['смещение связано с упрощающими предположениями модели', 'разброс связан с чувствительностью к обучающим данным', 'существует компромисс между смещением и разбросом']",['смещение и разброс можно минимизировать независимо'],,,,
chat_005_feature_count,chat_response,ru,True,,Сколько признаков содержит этот датасет?,"['chat', 'признаки']",easy,"['четыре признака', 'длина чашелистика', 'ширина чашелистика', 'длина лепестка', 'ширина лепестка']","['пять признаков', 'только признаки лепестков']",,,,
chat_006_samples_count,chat_response,ru,True,,Сколько объектов содержится в этом датасете?,"['chat', 'размер датасета']",easy,"['150 объектов', '50 объектов на класс']","['100 объектов', 'несбалансированные классы']",,,,
chat_007_numeric_only,chat_response,ru,True,,Все ли признаки в этом датасете являются числовыми?,"['chat', 'типы данных']",easy,"['все признаки числовые', 'непрерывные измерения']","['категориальные признаки', 'текстовые признаки']",,,,
chat_008_need_scaling,chat_response,ru,True,,Важно ли масштабирование признаков для этого датасета?,"['chat', 'предобработка']",medium,"['важно для моделей, основанных на расстоянии', 'помогает алгоритмам вроде kNN или SVM']","['масштабирование никогда не нужно', 'масштабирование меняет метки классов']",,,,
chat_009_linear_separable,chat_response,ru,True,,Является ли этот датасет линейно разделимым?,"['chat', 'анализ']",medium,"['класс setosa линейно разделим', 'остальные классы перекрываются']","['все классы идеально разделимы', 'ни один класс не разделим']",,,,
chat_011_unsupervised_possible,chat_response,ru,True,,Можно ли использовать этот датасет для обучения без учителя?,"['chat', 'обучение без учителя']",medium,"['можно использовать для кластеризации', 'метки классов можно игнорировать']",['обучение без учителя требует меток'],,,,
chat_012_pca_purpose,chat_response,ru,True,,Применим ли метод PCA к этому датасету?,"['chat', 'pca']",medium,"['снижение размерности', 'возможность визуализации', 'сохранение большей части дисперсии']",['PCA улучшает метки классов'],,,,
chat_013_outliers,chat_response,ru,True,,Являются ли выбросы серьёзной проблемой в этом датасете?,"['chat', 'качество данных']",medium,"['датасет относительно чистый', 'мало или нет выраженных выбросов']",['датасет сильно искажён выбросами'],,,,
chat_014_real_world_limitations,chat_response,ru,True,,Какие ограничения есть у этого датасета?,"['chat', 'ограничения']",hard,"['небольшой размер', 'не отражает сложные реальные данные']",['подходит для масштабного глубокого обучения'],,,,
theory_006_classification_vs_regression,chat_response,ru,True,,В чём разница между классификацией и регрессией?,"['theory', 'основы ml']",easy,"['классификация предсказывает дискретные классы', 'регрессия предсказывает непрерывные значения']","['классификация предсказывает только числа', 'регрессия предсказывает категории']",,,,
theory_007_cross_validation,chat_response,ru,True,,Что такое кросс-валидация?,"['theory', 'оценка моделей']",medium,"['разбиение данных на несколько фолдов', 'более надёжная оценка качества модели', 'уменьшает зависимость от одного train-test разбиения']",['кросс-валидация гарантирует идеальное качество'],,,,
theory_008_feature_engineering,chat_response,ru,True,,Что такое feature engineering?,"['theory', 'признаки']",medium,"['процесс создания или преобразования признаков', 'может улучшить качество модели', 'требует знания предметной области']",['feature engineering — это только очистка данных'],,,,
theory_009_data_leakage,chat_response,ru,True,,Что такое утечка данных?,"['theory', 'проблемы данных']",medium,"['информация из тестовой выборки попадает в обучение', 'приводит к завышенной оценке качества', 'ухудшает обобщающую способность']",['утечка данных улучшает качество в реальных условиях'],,,,
theory_010_precision_recall,chat_response,ru,True,,"Поясни, что такое precision и recall.","['theory', 'метрики']",medium,"['precision показывает точность положительных предсказаний', 'recall показывает полноту выявления положительных объектов', 'существует компромисс между precision и recall']",['precision и recall всегда равны'],,,,
theory_011_accuracy_limitations,chat_response,ru,True,,Является ли accuracy универсальной метрикой?,"['theory', 'метрики']",medium,"['проблематична при несбалансированных данных', 'не отражает качество по отдельным классам']",['accuracy всегда лучшая метрика'],,,,
chat_015_what_is_in_data,chat_response,ru,True,,Что в данных,"['chat', 'data_description']",easy,"['Данные представляют собой датасет Iris', 'В данных содержатся числовые признаки, описывающие размеры чашелистиков и лепестков', 'В данных есть категориальный признак с видом ириса', 'Каждая строка соответствует одному цветку']","['Упоминание конкретных статистик или числовых значений', 'Утверждения о качестве модели или результатах обучения', 'Предположения о последующей обработке данных']",,,,
