id,expected_decision,language,decision_score,code_details,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,expected_plot_path,model_plot_path,model_plot_error,heuristic_score,result_match
code_011_kmeans_en,code_generation,en,True,,Make three clusters using KMeans.,"['code', 'clustering']",medium,,,"from sklearn.cluster import KMeans

kmeans = KMeans(n_clusters=3, random_state=42)
clusters = kmeans.fit_predict(df.drop(columns=[""species""]))",,,,,,
code_012_cluster_plot_en,code_generation,en,True,,Make scatter plot of KMeans clusters using the first two features.,"['code', 'clustering', 'visualization']",medium,,,"import plotly.express as px
from sklearn.cluster import KMeans

X = df.drop(columns=[""species""])
kmeans = KMeans(n_clusters=3, random_state=42)
clusters = kmeans.fit_predict(X)

fig = px.scatter(
    df,
    x=""sepal_length"",
    y=""sepal_width"",
    color=clusters.astype(str)
)
fig",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_012_cluster_plot_en_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_012_cluster_plot_en_model.png,,,
code_013_train_test_split_en,code_generation,en,True,,Split the dataset into train and test sets.,"['code', 'split']",easy,,,"from sklearn.model_selection import train_test_split

X = df.drop(columns=[""species""])
y = df[""species""]

X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)",,,,,,
code_014_show_all_plots_en,code_generation,en,True,,Show all plots.,"['code', 'plots']",hard,,,"import plotly.express as px
import plotly.graph_objects as go

# df already exists and represents the iris dataset

# Select numeric columns
num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

# Try to infer target column
candidate_targets = [""species"", ""target"", ""label"", ""class""]
target_col = next((c for c in candidate_targets if c in df.columns), None)

if not num_cols:
    raise ValueError(""No numeric columns found in df to build plots."")

# 1) Histograms for all numeric features
fig_hist = px.histogram(
    df,
    x=num_cols,
    color=target_col if target_col else None,
    barmode=""overlay"",
    title=""Distributions (Histograms)""
)
fig_hist.show()

# 2) Box plots by class (if target exists)
if target_col:
    for col in num_cols:
        fig_box = px.box(
            df,
            x=target_col,
            y=col,
            title=f""Boxplot: {col} by {target_col}""
        )
        fig_box.show()

# 3) Scatter plots for common Iris feature pairs
scatter_pairs = [
    (""sepal_length"", ""sepal_width""),
    (""petal_length"", ""petal_width"")
]

for x, y in scatter_pairs:
    if x in df.columns and y in df.columns:
        fig_scatter = px.scatter(
            df,
            x=x,
            y=y,
            color=target_col if target_col else None,
            title=f""Scatter: {x} vs {y}""
        )
        fig_scatter.show()

# 4) Scatter matrix (pairwise relationships)
fig_matrix = px.scatter_matrix(
    df,
    dimensions=num_cols,
    color=target_col if target_col else None,
    title=""Scatter Matrix""
)
fig_matrix.show()

# 5) Correlation heatmap
corr = df[num_cols].corr(numeric_only=True)

fig_heatmap = px.imshow(
    corr,
    text_auto=True,
    title=""Correlation Heatmap""
)
fig_heatmap.show()
","['df', 'pd', 'np', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_014_show_all_plots_en_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_014_show_all_plots_en_model.png,,,
code_015_histogram_en,code_generation,en,True,,Show a histogram.,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

# df already exists and represents the iris dataset

num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

if not num_cols:
    raise ValueError(""В df не найдено числовых колонок для построения histogram."")

# Строим histogram по всем числовым признакам
fig = px.histogram(
    df,
    x=num_cols,
    barmode=""overlay"",
    title=""Histogram""
)

fig.show()
","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_015_histogram_en_expected.png,,,,
code_016_index_to_value_en,code_generation,en,True,,Display the Index to Values plot,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

df_reset = df.reset_index().rename(columns={""index"": ""index""})
fig = px.scatter(
    df_reset,
    x=""index"",
    y=[""sepal_length"", ""sepal_width"", ""petal_length"", ""petal_width""],
)
fig","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_016_index_to_value_en_expected.png,,Plotly Express cannot process wide-form data with columns of different type.,,
code_017_corr_matrix_en,code_generation,en,True,,Display the correlation matrix plot,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

corr = df[[""sepal_length"", ""sepal_width"", ""petal_length"", ""petal_width""]].corr()
fig = px.imshow(corr, text_auto=True)
fig","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_017_corr_matrix_en_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_017_corr_matrix_en_model.png,,,
code_018_radar_en,code_generation,en,True,,Display the Radar chart,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

cols = [""sepal_length"", ""sepal_width"", ""petal_length"", ""petal_width""]
df_mean = df.groupby(""species"", observed=True)[cols].mean().reset_index()
df_long = df_mean.melt(id_vars=""species"", var_name=""variable"", value_name=""value"")
fig = px.line_polar(df_long, r=""value"", theta=""variable"", color=""species"", line_close=True)
fig","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_018_radar_en_expected.png,,"All arguments should have the same length. The length of column argument `df[color]` is 150, whereas the length of previously-processed arguments ['r', 'theta'] is 4",,
code_001_describe,code_generation,ru,True,,"Напиши код, который выводит статистику по датасету.","['code', 'describe']",easy,,,df.describe(),,,,,,
code_002_pairplot,code_generation,ru,True,,Построй pairplot всех признаков.,"['code', 'plot']",medium,,,"import plotly.express as px
fig = px.scatter_matrix(df, dimensions=df.columns, color=""species"")
fig.show()",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_002_pairplot_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_002_pairplot_model.png,,,
code_003_train_model,code_generation,ru,True,,"Напиши код, который обучает простой классификатор на этих данных.","['code', 'model']",medium,,,"from sklearn.linear_model import LogisticRegression

X = df.drop(columns=[""species""])
y = df[""species""]

model = LogisticRegression(max_iter=200)
model.fit(X, y)","['RandomForestClassifier', 'DecisionTreeClassifier', 'SVC', 'KNeighborsClassifier', 'GaussianNB']",,,,,
code_004_missing_check,code_generation,ru,True,,"Проверь, есть ли в датасете пропущенные значения.","['code', 'null', 'count']",easy,,,df.isnull().sum(),,,,,,
code_005_fill_missing,code_generation,ru,True,,Заполни пропущенные значения средним значением по столбцам.,"['code', 'null', 'processing']",easy,,,"df.fillna(df.mean(numeric_only=True), inplace=True)",,,,,,
code_006_boxplot,code_generation,ru,True,,Построй boxplot для всех числовых признаков.,"['code', 'plot', 'boxplot']",medium,,,"import plotly.express as px

fig = px.box(df, y=df.select_dtypes(include=""number"").columns)
fig.show()",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_006_boxplot_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_006_boxplot_model.png,,,
code_007_standardize,code_generation,ru,True,,Стандартизируй все признаки датасета.,"['code', 'scaling', 'standard']",medium,,,"from sklearn.preprocessing import StandardScaler

scaler = StandardScaler()
X_scaled = scaler.fit_transform(df.drop(columns=[""species""]))",,,,,,
code_008_normalize,code_generation,ru,True,,Нормализуй признаки в диапазон от 0 до 1.,"['code', 'scaling']",medium,,,"from sklearn.preprocessing import MinMaxScaler

scaler = MinMaxScaler()
X_normalized = scaler.fit_transform(df.drop(columns=[""species""]))",,,,,,
code_009_pca,code_generation,ru,True,,Снизь размерность датасета до двух компонент с помощью PCA.,"['code', 'pca', 'dimensions']",medium,,,"from sklearn.decomposition import PCA

pca = PCA(n_components=2)
X_pca = pca.fit_transform(df.drop(columns=[""species""]))",,,,,,
code_010_pca_plot,code_generation,ru,True,,Построй scatter plot первых двух PCA-компонент с раскраской по видам.,"['code', 'pca', 'plot']",medium,,,"import plotly.express as px
from sklearn.decomposition import PCA

pca = PCA(n_components=2)
X_pca = pca.fit_transform(df.drop(columns=[""species""]))

df_pca = pd.DataFrame(X_pca, columns=[""PC1"", ""PC2""])
df_pca[""species""] = df[""species""]

fig = px.scatter(df_pca, x=""PC1"", y=""PC2"", color=""species"")
fig.show()",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_010_pca_plot_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_010_pca_plot_model.png,,,
code_011_kmeans,code_generation,ru,True,,Выполни кластеризацию KMeans на три кластера.,"['code', 'clustering']",medium,,,"from sklearn.cluster import KMeans

kmeans = KMeans(n_clusters=3, random_state=42)
clusters = kmeans.fit_predict(df.drop(columns=[""species""]))",,,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_011_kmeans_model.png,,,
code_012_cluster_plot,code_generation,ru,True,,Построй scatter plot кластеров KMeans по первым двум признакам.,"['code', 'clustering', 'plot']",medium,,,"import plotly.express as px
from sklearn.cluster import KMeans

X = df.drop(columns=[""species""])
kmeans = KMeans(n_clusters=3, random_state=42)
clusters = kmeans.fit_predict(X)

fig = px.scatter(
    df,
    x=""sepal_length"",
    y=""sepal_width"",
    color=clusters.astype(str)
)
fig",,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_012_cluster_plot_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_012_cluster_plot_model.png,,,
code_013_train_test_split,code_generation,ru,True,,Раздели датасет на обучающую и тестовую выборки.,"['code', 'split', 'train', 'test']",easy,,,"from sklearn.model_selection import train_test_split

X = df.drop(columns=[""species""])
y = df[""species""]

X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)",,,,,,
code_014_show_all_plots,code_generation,ru,True,,Отобрази все графики.,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px
import plotly.graph_objects as go

# df already exists and represents the iris dataset

# Select numeric columns
num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

# Try to infer target column
candidate_targets = [""species"", ""target"", ""label"", ""class""]
target_col = next((c for c in candidate_targets if c in df.columns), None)

if not num_cols:
    raise ValueError(""No numeric columns found in df to build plots."")

# 1) Histograms for all numeric features
fig_hist = px.histogram(
    df,
    x=num_cols,
    color=target_col if target_col else None,
    barmode=""overlay"",
    title=""Distributions (Histograms)""
)
fig_hist.show()

# 2) Box plots by class (if target exists)
if target_col:
    for col in num_cols:
        fig_box = px.box(
            df,
            x=target_col,
            y=col,
            title=f""Boxplot: {col} by {target_col}""
        )
        fig_box.show()

# 3) Scatter plots for common Iris feature pairs
scatter_pairs = [
    (""sepal_length"", ""sepal_width""),
    (""petal_length"", ""petal_width"")
]

for x, y in scatter_pairs:
    if x in df.columns and y in df.columns:
        fig_scatter = px.scatter(
            df,
            x=x,
            y=y,
            color=target_col if target_col else None,
            title=f""Scatter: {x} vs {y}""
        )
        fig_scatter.show()

# 4) Scatter matrix (pairwise relationships)
fig_matrix = px.scatter_matrix(
    df,
    dimensions=num_cols,
    color=target_col if target_col else None,
    title=""Scatter Matrix""
)
fig_matrix.show()

# 5) Correlation heatmap
corr = df[num_cols].corr(numeric_only=True)

fig_heatmap = px.imshow(
    corr,
    text_auto=True,
    title=""Correlation Heatmap""
)
fig_heatmap.show()
","['df', 'px', 'go']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_014_show_all_plots_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_014_show_all_plots_model.png,,,
code_015_histogram,code_generation,ru,True,,Отобрази график Histogram,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

# df already exists and represents the iris dataset

num_cols = df.select_dtypes(include=[""number""]).columns.tolist()

if not num_cols:
    raise ValueError(""В df не найдено числовых колонок для построения histogram."")

# Строим histogram по всем числовым признакам
fig = px.histogram(
    df,
    x=num_cols,
    barmode=""overlay"",
    title=""Histogram""
)

fig.show()
","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_015_histogram_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_015_histogram_model.png,,,
code_016_index_to_value,code_generation,ru,True,,Отобрази график Index To Values Plot,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

df_reset = df.reset_index().rename(columns={""index"": ""index""})
fig = px.scatter(
    df_reset,
    x=""index"",
    y=[""sepal_length"", ""sepal_width"", ""petal_length"", ""petal_width""],
)
fig","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_016_index_to_value_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_016_index_to_value_model.png,,,
code_017_corr_matrix,code_generation,ru,True,,отобрази график correlation matrix,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

corr = df[[""sepal_length"", ""sepal_width"", ""petal_length"", ""petal_width""]].corr()
fig = px.imshow(corr, text_auto=True)
fig","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_017_corr_matrix_expected.png,core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_017_corr_matrix_model.png,,,
code_018_radar,code_generation,ru,True,,Отобрази график Radar,"['code', 'plots', 'plotly']",hard,,,"import plotly.express as px

cols = [""sepal_length"", ""sepal_width"", ""petal_length"", ""petal_width""]
df_mean = df.groupby(""species"", observed=True)[cols].mean().reset_index()
df_long = df_mean.melt(id_vars=""species"", var_name=""variable"", value_name=""value"")
fig = px.line_polar(df_long, r=""value"", theta=""variable"", color=""species"", line_close=True)
fig","['df', 'px']",core/evaluation/report_4_chat_response_improve_qwen3-instruct-30b/plots/code_018_radar_expected.png,,"All arguments should have the same length. The length of column argument `df[color]` is 150, whereas the length of previously-processed arguments ['r', 'theta'] is 4",,
chat_001_what_is_iris_en,chat_response,en,True,,Explain what this dataset represents.,"['chat', 'iris description']",easy,"['dataset contains measurements of petals and sepals', 'three iris species']",[],,,,,,,
chat_002_how_many_classes_en,chat_response,en,True,,How many classes are in this dataset?,"['chat', 'classes']",easy,"['three classes', 'setosa', 'versicolor', 'virginica']",[],,,,,,,
chat_003_best_features_en,chat_response,en,True,,Which features best separate the iris species?,"['chat', 'analysis']",medium,"['petal length', 'petal width']",[],,,,,,,
chat_004_easiest_class_en,chat_response,en,True,,Which iris species is the easiest to separate from the others?,"['chat', 'analysis']",medium,"['setosa', 'shorter petals', 'wider petals']",[],,,,,,,
theory_001_overfitting_en,chat_response,en,True,,What is overfitting in machine learning?,"['theory', 'ml']",easy,"['model fits training data too well', 'poor generalization to new data']",['overfitting improves performance on unseen data'],,,,,,,
theory_002_train_test_split_en,chat_response,en,True,,Why is a train-test split used?,"['theory', 'ml']",easy,"['evaluate model on unseen data', 'prevent data leakage']",['to increase training accuracy'],,,,,,,
theory_003_regularization_en,chat_response,en,True,,What is regularization and why is it used?,"['theory', 'ml']",medium,"['adds penalty to model complexity', 'reduces overfitting']",['regularization increases model variance'],,,,,,,
theory_004_bias_variance_en,chat_response,en,True,,Explain the bias-variance tradeoff.,"['theory', 'ml']",medium,"['bias refers to error from simplifying assumptions', 'variance refers to sensitivity to training data', 'tradeoff between bias and variance']",['bias and variance can both be minimized independently'],,,,,,,
chat_005_feature_count_en,chat_response,en,True,,How many features does this dataset have?,"['chat', 'features']",easy,"['four features', 'sepal length', 'sepal width', 'petal length', 'petal width']","['five features', 'only petal features']",,,,,,,
chat_006_samples_count_en,chat_response,en,True,,How many samples are in this dataset?,"['chat', 'dataset size']",easy,"['150 samples', '50 samples per class']","['100 samples', 'imbalanced classes']",,,,,,,
chat_007_numeric_only_en,chat_response,en,True,,Are all features in this dataset numeric?,"['chat', 'data types']",easy,"['all features are numeric', 'continuous measurements']","['categorical features', 'text features']",,,,,,,
chat_008_need_scaling_en,chat_response,en,True,,Is feature scaling important for this dataset?,"['chat', 'preprocessing']",medium,"['important for distance-based models', 'helps algorithms like kNN or SVM']","['scaling is never useful', 'scaling changes class labels']",,,,,,,
chat_009_linear_separable_en,chat_response,en,True,,Is this dataset linearly separable?,"['chat', 'analysis']",medium,"['setosa is linearly separable', 'other classes overlap']","['all classes are perfectly separable', 'no class is separable']",,,,,,,
chat_011_unsupervised_possible_en,chat_response,en,True,,Can this dataset be used for unsupervised learning?,"['chat', 'unsupervised']",medium,"['can be used for clustering', 'labels can be ignored']",['unsupervised learning requires labels'],,,,,,,
chat_012_pca_purpose_en,chat_response,en,True,,Is PCA applicable to this dataset?,"['chat', 'pca']",medium,"['reduce dimensionality', 'enable visualization', 'capture most variance']",['PCA improves class labels'],,,,,,,
chat_013_outliers_en,chat_response,en,True,,Are outliers a major concern in this dataset?,"['chat', 'data quality']",medium,"['dataset is relatively clean', 'few or no strong outliers']",['dataset is heavily corrupted by outliers'],,,,,,,
chat_014_real_world_limitations_en,chat_response,en,True,,What are the limitations of this dataset?,"['chat', 'limitations']",hard,"['small size', 'not representative of complex real-world data']",['suitable for deep learning at scale'],,,,,,,
theory_006_classification_vs_regression_en,chat_response,en,True,,What is the difference between classification and regression?,"['theory', 'ml basics']",easy,"['classification predicts discrete labels', 'regression predicts continuous values']","['classification predicts numbers only', 'regression predicts categories']",,,,,,,
theory_007_cross_validation_en,chat_response,en,True,,What is cross-validation?,"['theory', 'model evaluation']",medium,"['splits data into multiple folds', 'provides more reliable performance estimates', 'reduces dependence on a single train-test split']",['cross-validation guarantees perfect performance'],,,,,,,
theory_008_feature_engineering_en,chat_response,en,True,,What is feature engineering?,"['theory', 'features']",medium,"['process of creating or transforming features', 'can improve model performance', 'requires domain knowledge']",['feature engineering is only data cleaning'],,,,,,,
theory_009_data_leakage_en,chat_response,en,True,,What is data leakage?,"['theory', 'data issues']",medium,"['information from test data leaks into training', 'leads to overly optimistic evaluation', 'harms generalization']",['data leakage improves real-world performance'],,,,,,,
theory_010_precision_recall_en,chat_response,en,True,,Explain precision and recall.,"['theory', 'metrics']",medium,"['precision measures correctness of positive predictions', 'recall measures coverage of actual positives', 'tradeoff between precision and recall']",['precision and recall are always equal'],,,,,,,
theory_011_accuracy_limitations_en,chat_response,en,True,,Is accuracy a universal metric?,"['theory', 'metrics']",medium,"['problematic with imbalanced datasets', 'does not reflect class-wise performance']",['accuracy is always the best metric'],,,,,,,
chat_015_what_is_in_data_en,chat_response,en,True,,What is in the data?,"['chat', 'data_description']",easy,"['The data represents the Iris dataset', 'The dataset contains numeric features describing sepal and petal measurements', 'There is a categorical feature indicating the iris species', 'Each row corresponds to a single flower']","['Mentioning specific statistics or numeric values', 'Claims about model performance or training results', 'Assumptions about downstream data processing']",,,,,,,
chat_001_what_is_iris,chat_response,ru,True,,"Поясни, что представляет собой датасет.","['chat', 'описание ириса']",easy,"['датасет содержит измерения лепестков и чашелистиков', 'три вида ириса']",['животные'],,,,,,,
chat_002_how_many_classes,chat_response,ru,True,,Сколько классов в этом датасете?,"['chat', 'классы']",easy,['три класса'],[],,,,,,,
chat_003_best_features,chat_response,ru,True,,Какие признаки лучше всего разделяют виды ирисов?,"['chat', 'анализ']",medium,"['длина лепестка', 'ширина лепестка']",[],,,,,,,
chat_004_easiest_class,chat_response,ru,True,,Какой вид ириса лучше всего отделяется от остальных?,"['chat', 'анализ']",medium,"['setosa', 'короче лепестки', 'шире лепестки']",[],,,,,,,
theory_001_overfitting,chat_response,ru,True,,Что такое переобучение в машинном обучении?,"['theory', 'ml']",easy,"['модель слишком хорошо подстраивается под обучающую выборку', 'плохо обобщает на новые данные']",['переобучение улучшает качество на новых данных'],,,,,,,
theory_002_train_test_split,chat_response,ru,True,,Зачем используется разделение на обучающую и тестовую выборки?,"['theory', 'ml']",easy,"['оценка качества модели на невидимых данных', 'предотвращение утечки данных']",['для увеличения точности на обучающей выборке'],,,,,,,
theory_003_regularization,chat_response,ru,True,,Что такое регуляризация и зачем она нужна?,"['theory', 'ml']",medium,"['добавляет штраф за сложность модели', 'уменьшает переобучение']",['регуляризация увеличивает разброс модели'],,,,,,,
theory_004_bias_variance,chat_response,ru,True,,Объясни компромисс между смещением и разбросом.,"['theory', 'ml']",medium,"['смещение связано с упрощающими предположениями модели', 'разброс связан с чувствительностью к обучающим данным', 'существует компромисс между смещением и разбросом']",['смещение и разброс можно минимизировать независимо'],,,,,,,
chat_005_feature_count,chat_response,ru,True,,Сколько признаков содержит этот датасет?,"['chat', 'признаки']",easy,"['четыре признака', 'длина чашелистика', 'ширина чашелистика', 'длина лепестка', 'ширина лепестка']","['пять признаков', 'только признаки лепестков']",,,,,,,
chat_006_samples_count,chat_response,ru,True,,Сколько объектов содержится в этом датасете?,"['chat', 'размер датасета']",easy,"['150 объектов', '50 объектов на класс']","['100 объектов', 'несбалансированные классы']",,,,,,,
chat_007_numeric_only,chat_response,ru,True,,Все ли признаки в этом датасете являются числовыми?,"['chat', 'типы данных']",easy,"['все признаки числовые', 'непрерывные измерения']","['категориальные признаки', 'текстовые признаки']",,,,,,,
chat_008_need_scaling,chat_response,ru,True,,Важно ли масштабирование признаков для этого датасета?,"['chat', 'предобработка']",medium,"['важно для моделей, основанных на расстоянии', 'помогает алгоритмам вроде kNN или SVM']","['масштабирование никогда не нужно', 'масштабирование меняет метки классов']",,,,,,,
chat_009_linear_separable,chat_response,ru,True,,Является ли этот датасет линейно разделимым?,"['chat', 'анализ']",medium,"['класс setosa линейно разделим', 'остальные классы перекрываются']","['все классы идеально разделимы', 'ни один класс не разделим']",,,,,,,
chat_011_unsupervised_possible,chat_response,ru,True,,Можно ли использовать этот датасет для обучения без учителя?,"['chat', 'обучение без учителя']",medium,"['можно использовать для кластеризации', 'метки классов можно игнорировать']",['обучение без учителя требует меток'],,,,,,,
chat_012_pca_purpose,chat_response,ru,True,,Применим ли метод PCA к этому датасету?,"['chat', 'pca']",medium,"['снижение размерности', 'возможность визуализации', 'сохранение большей части дисперсии']",['PCA улучшает метки классов'],,,,,,,
chat_013_outliers,chat_response,ru,True,,Являются ли выбросы серьёзной проблемой в этом датасете?,"['chat', 'качество данных']",medium,"['датасет относительно чистый', 'мало или нет выраженных выбросов']",['датасет сильно искажён выбросами'],,,,,,,
chat_014_real_world_limitations,chat_response,ru,True,,Какие ограничения есть у этого датасета?,"['chat', 'ограничения']",hard,"['небольшой размер', 'не отражает сложные реальные данные']",['подходит для масштабного глубокого обучения'],,,,,,,
theory_006_classification_vs_regression,chat_response,ru,True,,В чём разница между классификацией и регрессией?,"['theory', 'основы ml']",easy,"['классификация предсказывает дискретные классы', 'регрессия предсказывает непрерывные значения']","['классификация предсказывает только числа', 'регрессия предсказывает категории']",,,,,,,
theory_007_cross_validation,chat_response,ru,True,,Что такое кросс-валидация?,"['theory', 'оценка моделей']",medium,"['разбиение данных на несколько фолдов', 'более надёжная оценка качества модели', 'уменьшает зависимость от одного train-test разбиения']",['кросс-валидация гарантирует идеальное качество'],,,,,,,
theory_008_feature_engineering,chat_response,ru,True,,Что такое feature engineering?,"['theory', 'признаки']",medium,"['процесс создания или преобразования признаков', 'может улучшить качество модели', 'требует знания предметной области']",['feature engineering — это только очистка данных'],,,,,,,
theory_009_data_leakage,chat_response,ru,True,,Что такое утечка данных?,"['theory', 'проблемы данных']",medium,"['информация из тестовой выборки попадает в обучение', 'приводит к завышенной оценке качества', 'ухудшает обобщающую способность']",['утечка данных улучшает качество в реальных условиях'],,,,,,,
theory_010_precision_recall,chat_response,ru,True,,"Поясни, что такое precision и recall.","['theory', 'метрики']",medium,"['precision показывает точность положительных предсказаний', 'recall показывает полноту выявления положительных объектов', 'существует компромисс между precision и recall']",['precision и recall всегда равны'],,,,,,,
theory_011_accuracy_limitations,chat_response,ru,True,,Является ли accuracy универсальной метрикой?,"['theory', 'метрики']",medium,"['проблематична при несбалансированных данных', 'не отражает качество по отдельным классам']",['accuracy всегда лучшая метрика'],,,,,,,
chat_015_what_is_in_data,chat_response,ru,True,,Что в данных,"['chat', 'data_description']",easy,"['Данные представляют собой датасет Iris', 'В данных содержатся числовые признаки, описывающие размеры чашелистиков и лепестков', 'В данных есть категориальный признак с видом ириса', 'Каждая строка соответствует одному цветку']","['Упоминание конкретных статистик или числовых значений', 'Утверждения о качестве модели или результатах обучения', 'Предположения о последующей обработке данных']",,,,,,,
