id,expected_decision,language,decision_score,semantic_similarity,code_score,user_input,tags,difficulty,expected_facts,forbidden_facts,expected_code,possible_code_objects,expected_plot_path,model_plot_path,model_plot_error,heuristic_score,result_match
chat_001_what_is_iris_en,chat_response,en,True,0.663,,Explain what this dataset represents.,"['chat', 'iris description']",easy,"['dataset contains measurements of petals and sepals', 'three iris species']",[],,,,,,,
chat_002_how_many_classes_en,chat_response,en,True,0.27,,How many classes are in this dataset?,"['chat', 'classes']",easy,"['three classes', 'setosa', 'versicolor', 'virginica']",[],,,,,,,
chat_003_best_features_en,chat_response,en,False,0.063,,Which features best separate the iris species?,"['chat', 'analysis']",medium,"['petal length', 'petal width']",[],,,,,,,
chat_004_easiest_class_en,chat_response,en,False,0.034,,Which iris species is the easiest to separate from the others?,"['chat', 'analysis']",medium,"['setosa', 'shorter petals', 'wider petals']",[],,,,,,,
theory_001_overfitting_en,chat_response,en,True,0.209,,What is overfitting in machine learning?,"['theory', 'ml']",easy,"['model fits training data too well', 'poor generalization to new data']",['overfitting improves performance on unseen data'],,,,,,,
theory_002_train_test_split_en,chat_response,en,True,0.167,,Why is a train-test split used?,"['theory', 'ml']",easy,"['evaluate model on unseen data', 'prevent data leakage']",['to increase training accuracy'],,,,,,,
theory_003_regularization_en,chat_response,en,True,0.0,,What is regularization and why is it used?,"['theory', 'ml']",medium,"['adds penalty to model complexity', 'reduces overfitting']",['regularization increases model variance'],,,,,,,
theory_004_bias_variance_en,chat_response,en,True,0.484,,Explain the bias-variance tradeoff.,"['theory', 'ml']",medium,"['bias refers to error from simplifying assumptions', 'variance refers to sensitivity to training data', 'tradeoff between bias and variance']",['bias and variance can both be minimized independently'],,,,,,,
chat_005_what_is_in_data_en,chat_response,en,True,0.676,,What is in the data?,"['chat', 'data_description']",easy,"['The data represents the Iris dataset', 'The dataset contains numeric features describing sepal and petal measurements', 'There is a categorical feature indicating the iris species', 'Each row corresponds to a single flower']","['Mentioning specific statistics or numeric values', 'Claims about model performance or training results', 'Assumptions about downstream data processing']",,,,,,,
chat_001_what_is_iris,chat_response,ru,True,0.19,,"Поясни, что представляет собой датасет.","['chat', 'описание ириса']",easy,"['датасет содержит измерения лепестков и чашелистиков', 'три вида ириса']",['животные'],,,,,,,
chat_002_how_many_classes,chat_response,ru,True,0.026,,Сколько классов в этом датасете?,"['chat', 'классы']",easy,['три класса'],[],,,,,,,
chat_003_best_features,chat_response,ru,True,0.125,,Какие признаки лучше всего разделяют виды ирисов?,"['chat', 'анализ']",medium,"['длина лепестка', 'ширина лепестка']",[],,,,,,,
chat_004_easiest_class,chat_response,ru,False,0.051,,Какой вид ириса лучше всего отделяется от остальных?,"['chat', 'анализ']",medium,"['setosa', 'короче лепестки', 'шире лепестки']",[],,,,,,,
theory_001_overfitting,chat_response,ru,True,0.213,,Что такое переобучение в машинном обучении?,"['theory', 'ml']",easy,"['модель слишком хорошо подстраивается под обучающую выборку', 'плохо обобщает на новые данные']",['переобучение улучшает качество на новых данных'],,,,,,,
theory_002_train_test_split,chat_response,ru,True,0.156,,Зачем используется разделение на обучающую и тестовую выборки?,"['theory', 'ml']",easy,"['оценка качества модели на невидимых данных', 'предотвращение утечки данных']",['для увеличения точности на обучающей выборке'],,,,,,,
theory_003_regularization,chat_response,ru,True,0.164,,Что такое регуляризация и зачем она нужна?,"['theory', 'ml']",medium,"['добавляет штраф за сложность модели', 'уменьшает переобучение']",['регуляризация увеличивает разброс модели'],,,,,,,
theory_004_bias_variance,chat_response,ru,True,0.282,,Объясни компромисс между смещением и разбросом.,"['theory', 'ml']",medium,"['смещение связано с упрощающими предположениями модели', 'разброс связан с чувствительностью к обучающим данным', 'существует компромисс между смещением и разбросом']",['смещение и разброс можно минимизировать независимо'],,,,,,,
chat_005_what_is_in_data,chat_response,ru,True,0.209,,Что в данных,"['chat', 'data_description']",easy,"['Данные представляют собой датасет Iris', 'В данных содержатся числовые признаки, описывающие размеры чашелистиков и лепестков', 'В данных есть категориальный признак с видом ириса', 'Каждая строка соответствует одному цветку']","['Упоминание конкретных статистик или числовых значений', 'Утверждения о качестве модели или результатах обучения', 'Предположения о последующей обработке данных']",,,,,,,
